,epi_len,epi_rew,total_step,ave_loss
0,88.0,-11.809461346893759,88.0,
1,88.0,-9.49531654113999,176.0,
2,88.0,-9.13421600919174,264.0,
3,88.0,-15.24845352562066,352.0,
4,88.0,-5.763778809841926,440.0,
5,88.0,-19.17120130293565,528.0,
6,88.0,-12.990245266335384,616.0,
7,88.0,-13.840167849541984,704.0,
8,88.0,-11.048778676011768,792.0,
9,88.0,-19.04970503844503,880.0,
10,88.0,-10.488377051512755,968.0,
11,88.0,-14.335028657905513,1056.0,
12,88.0,-11.643281682178577,1144.0,
13,88.0,-10.990408636971642,1232.0,
14,88.0,-14.579975619560559,1320.0,
15,88.0,-10.11521464989499,1408.0,
16,88.0,-11.306884857222594,1496.0,
17,88.0,-19.639122871867933,1584.0,
18,88.0,-15.9174889848127,1672.0,
19,88.0,-8.288125333891832,1760.0,
20,88.0,-17.027670433872654,1848.0,
21,88.0,-17.006330935021296,1936.0,
22,88.0,-12.042829533157937,2024.0,
23,88.0,-11.709443820019487,2112.0,
24,88.0,-11.609341006859863,2200.0,
25,88.0,-20.9685436501214,2288.0,
26,88.0,-10.449802218192431,2376.0,
27,88.0,-11.339501550748242,2464.0,
28,88.0,-17.935731241136477,2552.0,
29,88.0,-10.322529165679144,2640.0,
30,88.0,-7.717058285713817,2728.0,
31,88.0,-14.697629732226904,2816.0,
32,88.0,-11.231978574989567,2904.0,
33,88.0,-15.13632616142857,2992.0,
34,88.0,-10.138199325900592,3080.0,
35,88.0,-17.4591311313698,3168.0,
36,88.0,-16.797009911212538,3256.0,
37,88.0,-17.105276943122135,3344.0,
38,88.0,-9.72325678527975,3432.0,
39,88.0,-8.428682334794658,3520.0,
40,88.0,-11.708713035277768,3608.0,
41,88.0,-17.682859413983977,3696.0,
42,88.0,-14.275873070970603,3784.0,
43,88.0,-19.36759536334965,3872.0,
44,88.0,-4.836272706349028,3960.0,
45,88.0,-11.61257776093506,4048.0,
46,88.0,-20.45212325203331,4136.0,
47,88.0,-15.798185105733472,4224.0,
48,88.0,-16.717600143695954,4312.0,
49,88.0,-22.208939479337072,4400.0,
50,88.0,-15.08507366698216,4488.0,
51,88.0,-14.065378459252168,4576.0,
52,88.0,-14.810955767032977,4664.0,
53,88.0,-13.990618388701721,4752.0,
54,88.0,-12.744170513254343,4840.0,
55,88.0,-9.31995230269757,4928.0,
56,88.0,-6.971735615604922,5016.0,
57,88.0,-9.356735183819294,5104.0,
58,88.0,-13.06963159960694,5192.0,
59,88.0,-21.983753503095173,5280.0,
60,88.0,-6.680146020436483,5368.0,
61,88.0,-17.215657727829342,5456.0,
62,88.0,-14.888574466123337,5544.0,
63,88.0,-14.542742988356554,5632.0,
64,88.0,-19.22874332847642,5720.0,
65,88.0,-15.693968617241788,5808.0,
66,88.0,-13.403482963875907,5896.0,
67,88.0,-14.411166570475753,5984.0,
68,88.0,-10.306327900218644,6072.0,
69,88.0,-8.491573491397844,6160.0,
